Restaurant_id,Restaurant_Link,Name,Ratings,Cuisine
4655216,https://www.grubhub.com/restaurant/duck-donuts-393-tarrytown-rd-white-plains/4655216,Duck Donuts,70 ratings,Donut
2311731,https://www.grubhub.com/restaurant/petit-chou-229-1st-avenue-new-york/2311731,Petit Chou,108 ratings,Dessert
6036384,https://www.grubhub.com/restaurant/anytime-breakfast-burritos-690-north-ave-new-rochelle/6036384,Anytime Breakfast Burritos,,Breakfast
65547,https://www.grubhub.com/restaurant/applejack-diner-1725-broadway-ave-new-york/65547,Applejack Diner,373 ratings,Breakfast
1229930,https://www.grubhub.com/restaurant/shwarma-grill-1201-castle-hill-ave-bronx/1229930,Shwarma Grill,128 ratings,Mediterranean
3245947,https://www.grubhub.com/restaurant/all-about-breakfast-629-church-ave-brooklyn/3245947,All About Breakfast,,Breakfast
325442,https://www.grubhub.com/restaurant/green-olive-161-e-116th-st-new-york/325442,Green Olive,436 ratings,Breakfast
3246049,https://www.grubhub.com/restaurant/the-one-breakfast-burrito-481-amsterdam-ave-new-york/3246049,The One Breakfast Burrito,9 ratings,Breakfast
5268096,https://www.grubhub.com/restaurant/burrito-n-shine-154-7th-ave-new-york/5268096,Burrito N Shine,,Breakfast
743908,https://www.grubhub.com/restaurant/le-cafe-coffee-661-lexington-ave-new-york/743908,Le Cafe Coffee,163 ratings,Coffee and Tea
3336907,https://www.grubhub.com/restaurant/cafe-take-5-560-northern-blvd-great-neck/3336907,Cafe Take 5,,Salads
3252578,https://www.grubhub.com/restaurant/croissant-club-1735-washington-ave-bronx/3252578,Croissant Club,,Lunch
3224723,https://www.grubhub.com/restaurant/ninis-smoothie-bar-227-e-204th-st-bronx/3224723,Nini's Smoothie Bar,21 ratings,Salads
7161656,https://www.grubhub.com/restaurant/breakfast-beauties-941-columbus-ave-new-york/7161656,Breakfast Beauties,,Breakfast
3039814,https://www.grubhub.com/restaurant/the-waffle-spot-dyckman-st-158-dyckman-st-new-york/3039814,The Waffle Spot (Dyckman St),48 ratings,Breakfast
6715792,https://www.grubhub.com/restaurant/the-burger-23701-linden-blvd-elmont/6715792,The Burger,,Hamburger
277403,https://www.grubhub.com/restaurant/bleeckers-finest-deli-171-bleecker-st-new-york/277403,Bleecker's Finest Deli,885 ratings,Convenience
3255002,https://www.grubhub.com/restaurant/burros-breakfast-burritos-1454-86th-st-brooklyn/3255002,Burro's Breakfast Burritos,5 ratings,Breakfast
6235248,https://www.grubhub.com/restaurant/fm-gourmet-deli-1903-williamsbridge-rd-the-bronx/6235248,F&M Gourmet Deli,,Hamburger
6643080,https://www.grubhub.com/restaurant/playa-bowls-105-w-72nd-st-new-york/6643080,Playa Bowls,58 ratings,Bowls
2731101,https://www.grubhub.com/restaurant/mias-breakfast-bar-168-myrtle-ave-brooklyn/2731101,Mia's Breakfast Bar,5 ratings,Breakfast
